Country,Total_Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Albania,177108,2807,167936,6365,61630,977,1253624,436233,2873750
Andorra,15338,130,15139,69,198104,1679,193595,2500452,77424
Austria,773540,11161,740910,21469,85262,1230,92324938,10176309,9072537
Belarus,567938,4369,541155,22414,60129,463,9034147,956468,9445320
Belgium,1279869,25747,1186374,67748,109817,2209,20730999,1778790,11654550
Bosnia and Herzegovina,243914,11110,192218,40586,74946,3414,1265280,388776,3254525
Bulgaria,537752,22188,456800,58764,78150,3225,5070696,736908,6881042
Croatia,426613,8877,407405,10331,104751,2180,2963298,727610,4072647
Czechia,1707756,30539,1660821,16396,159089,2845,39263872,3657706,10734562
Denmark,367307,2679,356575,8053,63128,460,84631772,14545388,5818461
Estonia,171395,1429,153726,16240,129093,1076,2020399,1521747,1327684
Finland,149897,1116,46000,102781,27000,201,7265979,1308760,5551803
France,7080375,117245,6872368,90762,108164,1791,146046715,2231101,65459475
Germany,4377899,95416,4134100,148383,52038,1134,73348901,871864,84128837
Greece,689896,15317,646019,28560,66609,1479,22961182,2216874,10357461
Hungary,833115,30351,790646,12118,86524,3152,7127710,740253,9628754
Iceland,12455,33,11923,499,36197,96,1096871,3187717,344093
Ireland,411554,5306,364582,41666,82167,1059,7760890,1549474,5008726
Italy,4712482,131503,4502457,78522,78089,2179,96870834,1605222,60347318
Latvia,183239,2881,156697,23661,98552,1549,4662340,2507552,1859319
Liechtenstein,3487,60,3390,37,91118,1568,49126,1283702,38269
Lithuania,366481,5406,328939,32136,137088,2022,5288998,1978439,2673319
Luxembourg,79720,839,77447,1434,124745,1313,3554740,5562399,639066
Malta,37445,459,36311,675,84515,1036,1211456,2734312,443057
Moldova,313849,7172,294229,12448,78035,1783,1897343,471754,4021887
Monaco,3357,33,3281,43,84773,833,54960,1387879,39600
Montenegro,137046,2018,130152,4876,218168,3213,772781,1230214,628168
Netherlands,2040337,18237,1958779,63321,118737,1061,17632552,1026122,17183686
North Macedonia,196376,6901,182782,6693,94264,3313,1336229,641411,2083264
Norway,195808,884,88952,105972,35759,161,8004891,1461871,5475786
Poland,2937069,76111,2674093,186865,77714,2014,21507393,569081,37793225
Portugal,1078729,18078,1030439,30212,106191,1780,19249013,1894884,10158411
Romania,1430475,41130,1220953,168392,75003,2157,13789007,722985,19072331
Russia,7958384,222315,6981907,754162,54504,1523,200000000,1369722,146015044
San Marino,5470,91,5343,36,160774,2675,80733,2372895,34023
Serbia,1037707,8996,902120,126591,119386,1035,5964658,686221,8692032
Slovakia,435650,12833,402200,20617,79745,2349,3757895,687875,5463047
Slovenia,307503,4635,290701,12167,147887,2229,1648179,792658,2079306
Spain,4984386,86974,4825794,71618,106554,1859,66213858,1415488,46778099
Sweden,1161933,14916,1129024,17993,114135,1465,12879376,1265126,10180309
Switzerland,854590,11171,807592,35827,97823,1279,11314175,1295111,8736066
UK,8361651,138379,6839129,1384143,122345,2025,318440917,4659315,68345000
Ukraine,2623882,60414,2322456,241012,60465,1392,13524231,311653,43395227
